AUROC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,Threshold,Disease,Repeat,Fold
0.8683035714285714,0.9993636793816262,0.07111111111111111,0.5334821428571429,1.0,0.06696428571428571,1.0,0.12552301255230125,1.0,CLL,1,1
,,0.6071428571428571,0.6071428571428571,1.0,0.6071428571428571,,0.7555555555555555,0.5303053259849548,CLL,1,2
0.4642857142857143,0.9952312369755356,0.9244444444444444,0.4642857142857143,0.9952153110047847,0.9285714285714286,0.0,0.9607390300230947,1.0,CLL,2,1
,,0.36607142857142855,0.36607142857142855,1.0,0.36607142857142855,,0.5359477124183006,0.5845909118652344,CLL,2,2
0.49330357142857145,0.995496122717105,0.9822222222222222,0.49330357142857145,0.9954954954954955,0.9866071428571429,0.0,0.9910313901345291,1.0,CLL,3,1
,,0.049107142857142856,0.049107142857142856,1.0,0.049107142857142856,,0.09361702127659574,0.8687687516212463,CLL,3,2
0.4642857142857143,0.9952306646365905,0.9244444444444444,0.4642857142857143,0.9952153110047847,0.9285714285714286,0.0,0.9607390300230947,1.0,CLL,4,1
,,0.05357142857142857,0.05357142857142857,1.0,0.05357142857142857,,0.1016949152542373,0.7511343955993652,CLL,4,2
0.734375,0.9982985007481455,0.6711111111111111,0.8348214285714286,1.0,0.6696428571428571,1.0,0.8021390374331551,1.0,CLL,5,1
,,0.12053571428571429,0.12053571428571429,1.0,0.12053571428571429,,0.2151394422310757,0.656810462474823,CLL,5,2
0.8616071428571428,0.9992966146984452,0.5777777777777777,0.7879464285714286,1.0,0.5758928571428571,1.0,0.7308781869688386,1.0,CLL,6,1
,,0.3794642857142857,0.3794642857142857,1.0,0.3794642857142857,,0.5501618122977346,0.5816506743431091,CLL,6,2
0.6450892857142857,0.9977873962271938,0.32,0.6584821428571428,1.0,0.3169642857142857,1.0,0.48135593220338985,1.0,CLL,7,1
,,0.08928571428571429,0.08928571428571429,1.0,0.08928571428571429,,0.16393442622950818,0.7654476761817932,CLL,7,2
0.47544642857142855,0.9953336942896234,0.9466666666666667,0.47544642857142855,0.9953271028037384,0.9508928571428571,0.0,0.9726027397260274,1.0,CLL,8,1
,,0.2767857142857143,0.2767857142857143,1.0,0.2767857142857143,,0.43356643356643354,0.6492919325828552,CLL,8,2
0.49776785714285715,0.9955358028628118,0.9911111111111112,0.49776785714285715,0.9955357142857143,0.9955357142857143,0.0,0.9955357142857143,1.0,CLL,9,1
,,0.16071428571428573,0.16071428571428573,1.0,0.16071428571428573,,0.27692307692307694,0.7306478023529053,CLL,9,2
0.8638392857142857,0.9993173468796748,0.12,0.5580357142857143,1.0,0.11607142857142858,1.0,0.208,1.0,CLL,10,1
,,0.5133928571428571,0.5133928571428571,1.0,0.5133928571428571,,0.6784660766961652,0.6012942790985107,CLL,10,2
0.47544642857142855,0.9953334111427586,0.9466666666666667,0.47544642857142855,0.9953271028037384,0.9508928571428571,0.0,0.9726027397260274,1.0,CLL,11,1
,,0.017857142857142856,0.017857142857142856,1.0,0.017857142857142856,,0.03508771929824561,0.8063805103302002,CLL,11,2
0.48214285714285715,0.9953951249724121,0.96,0.48214285714285715,0.9953917050691244,0.9642857142857143,0.0,0.9795918367346939,1.0,CLL,12,1
,,0.13839285714285715,0.13839285714285715,1.0,0.13839285714285715,,0.24313725490196078,0.7397171854972839,CLL,12,2
0.9017857142857143,0.9993957694468147,0.8711111111111111,0.9352678571428572,1.0,0.8705357142857143,1.0,0.9307875894988067,1.0,CLL,13,1
,,0.25,0.25,1.0,0.25,,0.4,0.616919219493866,CLL,13,2
0.7254464285714286,0.9984935237108836,0.26222222222222225,0.6294642857142857,1.0,0.25892857142857145,1.0,0.41134751773049644,1.0,CLL,14,1
,,0.16517857142857142,0.16517857142857142,1.0,0.16517857142857142,,0.2835249042145594,0.6993693709373474,CLL,14,2
0.8772321428571428,0.9993658208539276,0.5422222222222223,0.7700892857142857,1.0,0.5401785714285714,1.0,0.7014492753623188,1.0,CLL,15,1
,,0.23660714285714285,0.23660714285714285,1.0,0.23660714285714285,,0.38267148014440433,0.6249855756759644,CLL,15,2
0.7924107142857142,0.9986707319915866,0.7333333333333333,0.8660714285714286,1.0,0.7321428571428571,1.0,0.845360824742268,1.0,CLL,16,1
,,0.38839285714285715,0.38839285714285715,1.0,0.38839285714285715,,0.5594855305466238,0.6267144680023193,CLL,16,2
0.8794642857142857,0.9994307748478908,0.044444444444444446,0.5200892857142857,1.0,0.04017857142857143,1.0,0.07725321888412018,0.9999998807907104,CLL,17,1
,,0.20535714285714285,0.20535714285714285,1.0,0.20535714285714285,,0.34074074074074073,0.6288122534751892,CLL,17,2
0.46651785714285715,0.9952499685015431,0.9288888888888889,0.46651785714285715,0.9952380952380953,0.9330357142857143,0.0,0.9631336405529954,1.0,CLL,18,1
,,0.008928571428571428,0.008928571428571428,1.0,0.008928571428571428,,0.017699115044247787,0.8446711301803589,CLL,18,2
0.6741071428571428,0.9981762166026694,0.10666666666666667,0.5513392857142857,1.0,0.10267857142857142,1.0,0.1862348178137652,1.0,CLL,19,1
,,0.07589285714285714,0.07589285714285714,1.0,0.07589285714285714,,0.14107883817427386,0.7069119811058044,CLL,19,2
0.4799107142857143,0.9953746483332058,0.9555555555555556,0.4799107142857143,0.9953703703703703,0.9598214285714286,0.0,0.9772727272727273,1.0,CLL,20,1
,,0.25,0.25,1.0,0.25,,0.4,0.6860756278038025,CLL,20,2
0.5089285714285714,0.9967246398343195,0.1288888888888889,0.5625,1.0,0.125,1.0,0.2222222222222222,1.0,CLL,21,1
,,0.09375,0.09375,1.0,0.09375,,0.17142857142857143,0.7936100959777832,CLL,21,2
0.8236607142857143,0.9990852331849311,0.35555555555555557,0.6763392857142857,1.0,0.35267857142857145,1.0,0.5214521452145214,1.0,CLL,22,1
,,0.04017857142857143,0.04017857142857143,1.0,0.04017857142857143,,0.07725321888412018,0.7159297466278076,CLL,22,2
0.8482142857142857,0.9992481483701653,0.008888888888888889,0.5022321428571429,1.0,0.004464285714285714,1.0,0.008888888888888889,1.0,CLL,23,1
,,0.25,0.25,1.0,0.25,,0.4,0.6051123142242432,CLL,23,2
0.7165178571428572,0.9982486251129346,0.6666666666666666,0.8325892857142857,1.0,0.6651785714285714,1.0,0.7989276139410187,1.0,CLL,24,1
,,0.10267857142857142,0.10267857142857142,1.0,0.10267857142857142,,0.1862348178137652,0.6957180500030518,CLL,24,2
0.5066964285714286,0.996219425492975,0.37333333333333335,0.6852678571428572,1.0,0.3705357142857143,1.0,0.5407166123778502,1.0,CLL,25,1
,,0.004464285714285714,0.004464285714285714,1.0,0.004464285714285714,,0.008888888888888889,0.7383083701133728,CLL,25,2
0.8705357142857143,0.9993856702871061,0.10222222222222223,0.5491071428571429,1.0,0.09821428571428571,1.0,0.17886178861788618,1.0,CLL,26,1
,,0.75,0.75,1.0,0.75,,0.8571428571428571,0.5030162334442139,CLL,26,2
0.8058035714285714,0.9989876542327104,0.28,0.6383928571428572,1.0,0.2767857142857143,1.0,0.43356643356643354,1.0,CLL,27,1
,,0.05357142857142857,0.05357142857142857,1.0,0.05357142857142857,,0.1016949152542373,0.6898869276046753,CLL,27,2
0.421875,0.9948204555235252,0.84,0.421875,0.9947368421052631,0.84375,0.0,0.9130434782608695,1.0,CLL,28,1
,,0.05803571428571429,0.05803571428571429,1.0,0.05803571428571429,,0.10970464135021098,0.7970790863037109,CLL,28,2
0.46875,0.9952717972870683,0.9333333333333333,0.46875,0.995260663507109,0.9375,0.0,0.9655172413793104,1.0,CLL,29,1
